Filename                                                                                                                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
.build/arm64-apple-macosx/debug/BDDTests.build/DerivedSources/resource_bundle_accessor.swift                                                                        5                 2    60.00%           3                 1    66.67%          15                 3    80.00%           0                 0         -
.build/arm64-apple-macosx/debug/SQLite.build/DerivedSources/resource_bundle_accessor.swift                                                                          5                 5     0.00%           3                 3     0.00%          15                15     0.00%           0                 0         -
.build/arm64-apple-macosx/debug/SwiftMTPIndex.build/DerivedSources/resource_bundle_accessor.swift                                                                   5                 5     0.00%           3                 3     0.00%          15                15     0.00%           0                 0         -
.build/arm64-apple-macosx/debug/SwiftMTPKitPackageTests.derived/runner.swift                                                                                        9                 1    88.89%           2                 0   100.00%          17                 3    82.35%           0                 0         -
.build/arm64-apple-macosx/debug/SwiftMTPQuirks.build/DerivedSources/resource_bundle_accessor.swift                                                                  5                 5     0.00%           3                 3     0.00%          15                15     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Custom Operators/MightEqualOperator.swift                                                                      2                 0   100.00%           1                 0   100.00%           5                 0   100.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/BackgroundDSL.swift                                                                                        3                 3     0.00%           3                 3     0.00%           7                 7     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/DSLScenarioOutline.swift                                                                                   9                 9     0.00%           9                 9     0.00%          65                65     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/FeatureDSL.swift                                                                                           4                 4     0.00%           4                 4     0.00%          16                16     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/GherkinDSL.swift                                                                                          35                35     0.00%          15                15     0.00%         129               129     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/Matcher.swift                                                                                              4                 2    50.00%           4                 2    50.00%          16                 8    50.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/RuleDSL.swift                                                                                              3                 3     0.00%           3                 3     0.00%           7                 7     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/ScenarioBuilder.swift                                                                                      7                 7     0.00%           5                 5     0.00%          26                26     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/ScenarioDSL.swift                                                                                          5                 5     0.00%           5                 5     0.00%          19                19     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/StepBuilder.swift                                                                                          2                 2     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/DSL/StepDSL.swift                                                                                             10                 5    50.00%          10                 5    50.00%          21                12    42.86%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Extensions/CharacterExtensions.swift                                                                          34                11    67.65%          32                10    68.75%          83                24    71.08%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Extensions/CollectionExtensions.swift                                                                          3                 1    66.67%           1                 0   100.00%           3                 0   100.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Extensions/SequenceExtensions.swift                                                                           31                30     3.23%           9                 8    11.11%          51                48     5.88%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Extensions/StringExtensions.swift                                                                             28                14    50.00%          10                 5    50.00%          66                30    54.55%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/AST/AST.swift                                                                                         15                 2    86.67%           8                 0   100.00%          49                 3    93.88%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/AST/ASTRule.swift                                                                                     25                 5    80.00%          11                 0   100.00%          61                 5    91.80%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/AST/ASTToken.swift                                                                                    47                13    72.34%           5                 1    80.00%          62                12    80.65%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/AST/Nodes.swift                                                                                        4                 0   100.00%           4                 0   100.00%          11                 0   100.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Language.swift                                                                                        71                 8    88.73%          68                 7    89.71%         133                12    90.98%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Languages.swift                                                                                        1                 0   100.00%           1                 0   100.00%        3515                 0   100.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Lexer/Lexer.swift                                                                                    152                72    52.63%          67                32    52.24%         301               150    50.17%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Lexer/Position.swift                                                                                   3                 2    33.33%           3                 2    33.33%           7                 4    42.86%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Lexer/StringReader.swift                                                                              33                 7    78.79%          17                 1    94.12%          65                 8    87.69%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Lexer/Token.swift                                                                                     60                29    51.67%          10                 1    90.00%          98                25    74.49%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Parser/DataTable.swift                                                                                 2                 2     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Parser/Feature.swift                                                                                  33                15    54.55%          19                 7    63.16%          72                28    61.11%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Parser/RuleParser.swift                                                                                6                 6     0.00%           6                 6     0.00%          15                15     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Parser/Scenario.swift                                                                                 26                 8    69.23%          18                 6    66.67%          77                21    72.73%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Parser/ScenarioOutlineParser.swift                                                                    64                24    62.50%          26                 6    76.92%         193                41    78.76%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Parser/Scope.swift                                                                                    32                 9    71.88%           5                 2    60.00%          42                 3    92.86%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Gherkin/Parser/Step.swift                                                                                     82                34    58.54%          31                11    64.52%         173                78    54.91%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Protocols/Positionable.swift                                                                                   5                 5     0.00%           3                 3     0.00%          10                10     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Protocols/Taggable.swift                                                                                       8                 6    25.00%           5                 4    20.00%          16                10    37.50%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Reporter/JSONReporter.swift                                                                                   52                11    78.85%          26                 3    88.46%         115                 9    92.17%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Reporter/ReporterResult.swift                                                                                 14                 9    35.71%           2                 0   100.00%          20                 3    85.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Runner/Cucumber.swift                                                                                        124                46    62.90%          80                24    70.00%         306               101    66.99%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Runner/CucumberTest.swift                                                                                     71                24    66.20%          44                13    70.45%         283                69    75.62%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Runner/Globals.swift                                                                                           7                 7     0.00%           7                 7     0.00%          21                21     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Runner/Hooks/Hook.swift                                                                                        7                 7     0.00%           3                 3     0.00%          12                12     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/Runner/TestObservation.swift                                                                                  13                 9    30.77%           6                 3    50.00%          37                26    29.73%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/StubGeneration/Method.swift                                                                                   39                39     0.00%          19                19     0.00%          67                67     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/StubGeneration/StubGenerator.swift                                                                            31                25    19.35%          16                10    37.50%         105                53    49.52%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/StubGeneration/StubGeneratorLexer.swift                                                                       18                18     0.00%          10                10     0.00%          33                33     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/StubGeneration/StubGeneratorToken.swift                                                                        6                 6     0.00%           2                 2     0.00%          12                12     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/TestingExtensions.swift                                                                                        2                 2     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/XCTestCaseGenerator/TestCaseGenerator.swift                                                                   17                 9    47.06%           4                 1    75.00%          48                14    70.83%           0                 0         -
.build/checkouts/CucumberSwift/Sources/CucumberSwift/XCTestCaseGenerator/TestCaseMethod.swift                                                                       3                 1    66.67%           1                 0   100.00%           6                 0   100.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/CucumberExpression.swift                                                                42                20    52.38%          16                 8    50.00%         126                43    65.87%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/CustomParameters.swift                                                                   2                 2     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Extensions/CharacterExtensions.swift                                                     6                 2    66.67%           6                 2    66.67%          18                 6    66.67%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Lexer.swift                                                                             46                25    45.65%          13                 7    46.15%         111                58    47.75%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Match.swift                                                                             29                28     3.45%          18                17     5.56%          64                63     1.56%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Parameter/AnyParameter.swift                                                            14                14     0.00%          14                14     0.00%          37                37     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Parameter/Parameter.swift                                                                2                 2     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Parameters/AnonymousParameter.swift                                                      3                 3     0.00%           3                 3     0.00%           5                 5     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Parameters/DoubleParameter.swift                                                         5                 5     0.00%           3                 3     0.00%          11                11     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Parameters/FloatParameter.swift                                                          5                 5     0.00%           3                 3     0.00%          11                11     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Parameters/IntParameter.swift                                                            5                 5     0.00%           3                 3     0.00%          11                11     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Parameters/StringParameter.swift                                                         4                 4     0.00%           4                 4     0.00%          11                11     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Parameters/WordParameter.swift                                                           3                 3     0.00%           3                 3     0.00%           5                 5     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Position.swift                                                                           1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/StringReader.swift                                                                      33                17    48.48%          17                 6    64.71%          65                36    44.62%           0                 0         -
.build/checkouts/CucumberSwiftExpressions/Sources/CucumberSwiftExpressions/Token.swift                                                                             37                35     5.41%           8                 7    12.50%          64                59     7.81%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Backup.swift                                                                                                     28                28     0.00%          12                12     0.00%          66                66     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Blob.swift                                                                                                        8                 8     0.00%           6                 6     0.00%          21                21     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Connection+Aggregation.swift                                                                                     26                26     0.00%          16                16     0.00%         149               149     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Connection+Attach.swift                                                                                           4                 4     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Connection+Pragmas.swift                                                                                         18                18     0.00%          11                11     0.00%          28                28     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Connection.swift                                                                                                177               151    14.69%          77                62    19.48%         457               410    10.28%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Errors.swift                                                                                                      6                 6     0.00%           1                 1     0.00%          12                12     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Result.swift                                                                                                     13                11    15.38%           2                 1    50.00%          29                27     6.90%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/SQLiteFeature.swift                                                                                               6                 6     0.00%           2                 2     0.00%          13                13     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/SQLiteVersion.swift                                                                                               5                 5     0.00%           5                 5     0.00%          11                11     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Statement.swift                                                                                                 103               103     0.00%          41                41     0.00%         200               200     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/URIQueryParameter.swift                                                                                          10                10     0.00%           2                 2     0.00%          14                14     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Core/Value.swift                                                                                                      14                14     0.00%          12                12     0.00%          36                36     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Extensions/FTS4.swift                                                                                                 71                71     0.00%          43                43     0.00%         180               180     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Extensions/FTS5.swift                                                                                                 14                14     0.00%           8                 8     0.00%          46                46     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Extensions/RTree.swift                                                                                                 3                 3     0.00%           1                 1     0.00%           9                 9     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Foundation.swift                                                                                                      14                14     0.00%          14                14     0.00%          48                48     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Helpers.swift                                                                                                         27                27     0.00%          12                12     0.00%          64                64     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Schema/Connection+Schema.swift                                                                                        17                17     0.00%          13                13     0.00%          34                34     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Schema/SchemaChanger.swift                                                                                           145               145     0.00%          56                56     0.00%         297               297     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Schema/SchemaDefinitions.swift                                                                                       124               124     0.00%          59                59     0.00%         292               292     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Schema/SchemaReader.swift                                                                                             68                68     0.00%          28                28     0.00%         229               229     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/AggregateFunctions.swift                                                                                        17                17     0.00%          17                17     0.00%          51                51     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Coding.swift                                                                                                   168               168     0.00%          87                87     0.00%         364               364     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Collation.swift                                                                                                  7                 7     0.00%           2                 2     0.00%          15                15     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/CoreFunctions.swift                                                                                             80                80     0.00%          50                50     0.00%         196               196     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/CustomFunctions.swift                                                                                           62                62     0.00%          48                48     0.00%         112               112     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/DateAndTimeFunctions.swift                                                                                      20                20     0.00%          14                14     0.00%          50                50     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Expression.swift                                                                                                21                21     0.00%          18                18     0.00%          68                68     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Operators.swift                                                                                                206               206     0.00%         190               190     0.00%         580               580     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Query+with.swift                                                                                                15                15     0.00%           7                 7     0.00%          72                72     0.00%           0                 0         -
